"GeneID","genename","AUG_Hairpin","Rmotif","TranslationCat","Ribo_Mock_RPKM_AVG","Ribo_IC_RPKM_AVG","RNA_Mock_RPKM_AVG","RNA_IC_RPKM_AVG","RNAlog2fc","RNA_adjp","Ribolog2fc","Ribo_adjp","TE_Mock","TE_IC","log2_TEfc","Direction"
"AT1G16700",NA,1,"TRUE","Non DTG",6.683848572,1.942093642,16.15816036,15.04827013,-0.153870646,0.883739504,-0.226397532,0.961269059,0.413651581,0.129057601,-1.680400981,0.0348359345016457
"AT1G16740",NA,1,"FALSE","Non DTG",1.956121536,2.106880514,8.647940522,7.717396284,-0.504645812,0.817224768,-0.010530926,NA,0.226195073,0.273004059,0.2713549,0.00531438770238191
"AT1G16880","ACR11",1,"TRUE","Non DTG",76.50194516,52.69618247,239.8072699,225.4466454,0.001874725,0.996592681,-0.337113688,0.483133208,0.319014287,0.233741258,-0.448708627,-0.0006319954587358
"AT1G17050","AtSPS2",1,"FALSE","Non DTG",12.84101024,13.86064381,23.67550366,15.55461596,-0.534535826,0.233729313,-0.007263442,0.997778221,0.542375377,0.891095212,0.716287905,0.00388256996907309
"AT1G17080",NA,1,"TRUE","Non DTG",4.378661329,6.294481346,21.45563512,28.02018903,0.670449573,0.341100652,0.964521104,0.587220481,0.204079782,0.224640931,0.138487559,0.646662762326289
"AT1G17130","CWC16b",1,"FALSE","Non DTG",3.240192744,2.534108767,6.102274937,8.688744578,0.325544717,0.803803089,-0.344032249,0.943207839,0.530981114,0.291654191,-0.864401745,-0.111997881139579
"AT1G17220","FUG1",1,"TRUE","Non DTG",30.00047376,30.17270152,55.77661851,52.43947636,0.044095761,0.905437541,0.044355039,0.978293689,0.537868278,0.575381442,0.097265784,0.00195586919888968
"AT1G17340","SAC5",1,"TRUE","Buffered_S",5.182166323,7.274484289,10.39591714,21.9178672,1.164284981,3.48653e-12,0.73324644,0.305779661,0.498480918,0.331897452,-0.586800723,0.853707817463718
"AT1G17360",NA,1,"TRUE","Non DTG",7.759347746,6.389560519,8.220723754,8.076495177,-0.007069039,0.996103913,-0.378119738,0.76437457,0.943876473,0.791130358,-0.254682631,0.00267294317459178
"AT1G17730","CHMP1B",1,"TRUE","Non DTG",3.864754845,6.914682769,30.48043261,18.796144,-0.521760603,0.695422568,0.642587605,0.803894848,0.126794619,0.367877729,1.536732817,-0.335276896265126
"AT1G17840","ABCG11",1,"FALSE","Non DTG",8.578408009,6.044461974,10.52205212,7.455536052,-0.284721469,0.779788616,-0.364502384,0.81357393,0.815278988,0.810734725,-0.008063896,0.103781654226482
"AT1G17980","PAPS1",1,"FALSE","Buffered_S",9.922289833,12.46319828,17.54539547,32.1271283,0.844839084,2.07323e-05,0.318978199,0.794317245,0.565521014,0.387933779,-0.543770231,0.26948524945913
"AT1G18360","MAGL2",1,"TRUE","Non DTG",2.586778173,2.528816617,8.719967636,8.24589961,-0.175434584,0.889011975,0.080349765,0.989950827,0.296649974,0.306675649,0.047951962,-0.0140961275972728
"AT1G18460","alpha/beta-HYD",1,"TRUE","Non DTG",13.82360284,7.871709748,36.52751438,17.6970935,-0.896869662,1.38256e-06,-0.684818836,0.189593663,0.378443567,0.444802405,0.233086404,0.614193237974553
"AT1G18500","IPMS1",1,"TRUE","Non DTG",11.0409442,8.386755504,16.57168366,13.7416456,-0.284716529,0.428447021,-0.405821886,0.829957018,0.666253618,0.610316679,-0.126513446,0.115544198774154
"AT1G18730","NDF6",1,"TRUE","Non DTG",15.39238885,18.88766464,63.25699951,59.19765751,0.105223177,0.90200603,0.191810611,0.968936277,0.243330998,0.319061014,0.390912218,0.0201829218717311
"AT1G19020","HUP35",1,"TRUE","Forwarded",20.33357452,70.77323131,123.9261738,349.2322289,1.577655636,1.03565e-08,2.142516721,1.59269e-08,0.164078127,0.20265378,0.304634156,3.38015358010989
